UserID,SegmentID,Start,End,# Interactions,# Documents Opened,Opened Documents,OpenDuration,# Documents Read,Read Documents,ReadDuration,# Documents Dragged,Dragged Documents,DraggingDuration,Most Read Document,# Highlighted,Highlighted Words,HighlightingDuration,# Searched,Searched Words,SearchDuration
2,3,467.1,717.2,43,3,['Armsdealing 4' 'Armsdealing 6' 'Armsdealing 79'],16.6,34,['Armsdealing 65' 'Armsdealing 69' 'Armsdealing 72'],107,2,['Armsdealing 69' 'Armsdealing 72'],2.7,Armsdealing 69,3,"[' Leonid Minsky', 'gun shipments to Yemen', 'Nigeria']",3,1,['Nigeria'],1
2,4,717.2,734.4,1,1,['Armsdealing 84'],114.2,0,[],0,0,[],0,NA,0,[],0,0,[],0
2,5,734.4,1542.5,59,4,['Armsdealing 81' 'Armsdealing 85'],480.9,37,['Armsdealing 69' 'Armsdealing 81' 'Armsdealing 84' 'Armsdealing 85'],339.7,16,['Armsdealing 72' 'Armsdealing 81' 'Armsdealing 85'],35,Armsdealing 81,2,"[' THE ENTIRE FUNDS TRANSFER WOULD STILL BE IN ITS FETUS STAGE.', 'TO DO THIS IT BECOMES ABSOLUTELY NECESSARY FOR US TO OFFICIALISE THE FUNDS TRANSFER PROCESS MAKING IT TAKE THE SEMBLANCE OF AN ACTUAL CONTRACT PAYMENT.']",2,0,[],0
2,6,1542.5,1809.4,27,4,['Armsdealing 11' 'Armsdealing 34' 'Armsdealing 56' 'Armsdealing 60'],48,11,['Armsdealing 11' 'Armsdealing 56' 'Armsdealing 69'],16.1,10,"['Armsdealing 27' 'Armsdealing 28' 'Armsdealing 29' 'Armsdealing 30'
 'Armsdealing 4' 'Armsdealing 5' 'Armsdealing 6' 'Armsdealing 69'
 'Armsdealing 72']",21.6,Armsdealing 69,0,[],0,2,"['2009', 'Iran']",2
2,7,1809.4,2146.9,61,8,"['Armsdealing 101' 'Armsdealing 102' 'Armsdealing 22' 'Armsdealing 30'
 'Armsdealing 64' 'Armsdealing 68' 'Armsdealing 71']",1086.6,11,['Armsdealing 102' 'Armsdealing 30' 'Armsdealing 71'],67.5,39,"['Armsdealing 101' 'Armsdealing 102' 'Armsdealing 22' 'Armsdealing 25'
 'Armsdealing 28' 'Armsdealing 29' 'Armsdealing 30' 'Armsdealing 51'
 'Armsdealing 52' 'Armsdealing 53' 'Armsdealing 54' 'Armsdealing 56'
 'Armsdealing 65' 'Armsdealing 68' 'Armsdealing 69' 'Armsdealing 70'
 'Armsdealing 71' 'Armsdealing 72' 'Armsdealing 77' 'Armsdealing 81'
 'Armsdealing 84' 'Armsdealing 87' 'Armsdealing 88' 'Armsdealing 89'
 'Armsdealing 90']",62.3,Armsdealing 71,0,[],0,3,"['2009', 'Kenya', 'Syria']",3
2,8,2146.9,2198.2,8,1,['Armsdealing 17'],13.3,2,['Armsdealing 30'],1.6,4,['Armsdealing 17' 'Armsdealing 22'],5.1,Armsdealing 30,0,[],0,1,['Lebanon'],1
2,9,2198.2,2225.2,2,1,['Armsdealing 28'],17.4,0,[],0,1,['Armsdealing 28'],0.8,NA,0,[],0,0,[],0
2,10,2225.2,2569.1,45,4,['Armsdealing 28' 'Armsdealing 56' 'Armsdealing 68' 'Armsdealing 70'],674.2,34,['Armsdealing 28' 'Armsdealing 30' 'Armsdealing 68' 'Armsdealing 71'],54.6,7,"['Armsdealing 102' 'Armsdealing 28' 'Armsdealing 30' 'Armsdealing 56'
 'Armsdealing 71']",7.4,Armsdealing 30,0,[],0,0,[],0
2,11,2569.1,2852.7,21,5,['Armsdealing 52' 'Armsdealing 53' 'Armsdealing 54'],121.5,12,['Armsdealing 30' 'Armsdealing 52' 'Armsdealing 54' 'Armsdealing 70'],83.5,1,['Armsdealing 52'],1,Armsdealing 70,0,[],0,3,"['May 2009', 'Pakistan', 'Saudi Arabia,']",3
2,12,2852.7,2891.9,3,1,['Armsdealing 96'],11.4,1,['Armsdealing 70'],1,0,[],0,Armsdealing 70,0,[],0,1,['Saudi Arabia'],1
